,Star_name,Distance,Mass,Radius,Gravity
0,Canopus,310.0,15.0,71.0,0.8161153386021839
1,Achernar,144.0,6.7,9.3,21.2464259657665
2,Acrux,320.0,18.0,8.9,62.326030883377484
3,Aldebaran,65.0,1.5,44.0,0.21250193294905007
4,Spica,260.0,11.43,7.47,56.18003500809
5,Gacrux,88.0,1.5,84.0,0.058305519017766566
6,Bellatrix,240.0,8.6,5.8,70.11637302474244
7,Elnath,130.0,5.0,4.2,77.74069202368877
8,Miaplacidus,110.0,3.5,6.8,20.759992757536956
9,Alnair,101.0,4.0,3.4,94.90282403445465
10,Alioth,81.0,2.9,4.2,45.08960137373948
11,Dubhe,120.0,4.25,30.0,1.2951599291146547
12,Sargas,270.0,5.7,26.0,2.3126245862715553
13,Kaus Australis,140.0,3.5,6.8,20.759992757536956
14,Menkalinan,81.0,2.39,2.77,85.43097080483021
15,Alhena,109.0,2.8,3.3,70.51915997124031
16,Peacock,180.0,5.9,4.8,70.23385645015132
17,Alsephina[2],80.0,2.4,2.9,78.26943965552645
18,Alphard,180.0,3.0,50.0,0.32912299375148873
19,Scheat,196.0,2.1,95.0,0.0638188630543053
20,R Doradus,178.0,0.8,298.0,0.00247078204999391
21,Polaris Australis,281.0,1.59,3.74,31.176754176608036
22,Mira,300.0,1.2,370.0,0.00240411244522636
23,II Pegasi,130.0,0.8,3.4,18.98056480689093
24,2MASS J04510093-3402150 [de],69.0,0.000992772,7.398936,0.004973795867202517
25,2MASS J07522390+1612157,60.0,0.001918722,6.987884,0.010776994467105179
26,Cha 110913-773444,163.0,0.007636704,0.1849734,61.21591953721324
27,TWA 29,262.0,0.001909176,2.569075,0.07933583172022834
28,PSO J318.5âˆ’22,80.0,0.006204822,0.15722739,68.84143200551662
